"PhysicalDataID","StationCode","Date","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","Datetime","Year","Month","MonthAbb","Flag_PQC","Comment_PQC"
1693,"SHR",2018-08-23,"08:55:00","CLR",NA,1,20.3,1.91,133,146,7.47,8.62,5.5,1535014500,"2018","8","Aug","NA",NA
1687,"STTD",2018-08-22,"14:33:00","CLR","Flood",1,22.3,0.5,176,186,8.09,7.99,15.5,1534948380,"2018","8","Aug","NA",NA
1678,"STTD",2018-08-13,"12:40:00","CLR","Ebb",1,23.9,0.5,NA,183,8.19,8.29,15.7,1534164000,"2018","8","Aug","NA",NA
1667,"STTD",2018-08-08,"13:46:00","CLD","Flood",1,22.9,0.4,171,178,8.37,7.65,17.9,1533735960,"2018","8","Aug","NA",NA
1665,"SHR",2018-08-09,"09:05:00","CLR","Ebb",1,20.3,0.9,124,137,7.56,8.56,8.3,1533805500,"2018","8","Aug","NA",NA
1656,"STTD",2018-08-02,"12:16:00","CLD","Ebb",1,22.8,0.4,166,173,8.5,8.42,15.8,1533212160,"2018","8","Aug","NA",NA
1646,"SHR",2018-07-25,"09:59:00","CLR","Ebb",1,22.3,1.1,106,112,7.68,8.57,3.9,1532512740,"2018","7","Jul","NA",NA
1640,"STTD",2018-07-26,"13:20:00","CLR","Ebb",1,25.1,0.28,177,177,8.51,7.92,19.3,1532611200,"2018","7","Jul","NA",NA
1625,"STTD",2018-07-11,"11:01:00","CLR","Ebb",1,24.2,0.38,180,183,8.7,7.74,20.3,1531306860,"2018","7","Jul","NA",NA
1624,"SHR",2018-07-12,"09:15:00","CLR",NA,1,21.7,1.1,98,104,7.55,8.62,6.7,1531386900,"2018","7","Jul","NA",NA
1617,"SHR",2018-06-27,"09:35:00","CLR",NA,1,21.6,1.25,100,106,7.57,8.58,4.9,1530092100,"2018","6","Jun","NA",NA
1616,"STTD",2018-06-26,"09:47:00","CLR",NA,1,22.5,0.33,184,193,7.73,7.43,22.5,1530006420,"2018","6","Jun","NA",NA
1613,"STTD",2018-06-12,"10:09:00","CLR",NA,NA,21.8,0.26,206,219,8.74,7.83,25.1,1528798140,"2018","6","Jun","NA",NA
1612,"SHR",2018-06-13,"09:40:00","CLR",NA,1,21.1,1.32,112.8,121.9,7.58,8.79,3.8,1528882800,"2018","6","Jun","NA",NA
1611,"STTD",2018-05-30,"11:40:00","CLD",NA,NA,22.2,0.38,233,247,8.14,8.04,20.3,1527680400,"2018","5","May","NA",NA
1610,"SHR",2018-05-29,"09:46:00","CLR",NA,1,20.1,0.75,135,149,7.56,8.91,8.3,1527587160,"2018","5","May","NA",NA
1608,"SHR",2018-05-16,"09:47:00","RAN",NA,NA,18.7,1.4,109,124,7.82,9.06,3.3,1526464020,"2018","5","May","NA",NA
1607,"STTD",2018-05-15,"09:24:00","CLR",NA,NA,18,0.22,403,465,8.38,8.13,29.3,1526376240,"2018","5","May","NA",NA
1585,"SHR",2018-05-02,"10:12:00",NA,NA,1,16.9,1.45,110,142,7.93,9.65,2.9,1525255920,"2018","5","May","NA",NA
1583,"STTD",2018-05-01,"09:40:00","CLR",NA,NA,18.6,0.27,607,691,8.22,8.18,28.6,1525167600,"2018","5","May","NA",NA
1577,"STTD",2018-04-25,"09:45:00","CLR",NA,NA,19.9,0.32,598,662,8.08,7.59,19.8,1524649500,"2018","4","Apr","NA",NA
1576,"SHR",2018-04-24,"10:50:00","CLR",NA,NA,17.3,0.7,120.7,141.4,7.67,9.36,10.2,1524567000,"2018","4","Apr","NA",NA
1572,"STTD",2018-04-10,"11:00:00","CLD",NA,NA,16.6,0.12,211,252,7.71,7.75,111.2,1523358000,"2018","4","Apr","NA",NA
